pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,pull_price,item_nsu_hetero_type,corrected_weight,p_real,gpp,n_pairs,n_price,n_mun,gpp_loo,w_pred,ratio
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,NABAS,pieces or units,11,municipality_median,70,11,6.363636363636363,11,3,4,5.784502998586163,63.62953298444779,.9089933283492542
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,NABAS,putos,90,municipality_median,225,90,2.5,40,10,7,3,270,1.2
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,NABAS,putos,90,municipality_median,250,90,2.777777777777778,40,10,7,3,270,1.08
"crackers, cookies, buiscuits, chips/curls",AKLAN,NEW WASHINGTON,putos,65,municipality_median,320,65,4.923076923076923,59,8,9,,,
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,BARBAZA,pieces or units,10,province_median,140,10,14,16,4,4,10,100,.7142857142857143
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,BARBAZA,pieces or units,10,province_median,90,10,9,16,4,4,10,100,1.111111111111111
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,BARBAZA,pieces or units,10,province_median,110,10,11,16,4,4,10,100,.9090909090909091
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,BARBAZA,pieces or units,10,province_median,110,9.73816543751499,11.29576209254359,16,4,4,10,97.38165437514991,.8852877670468173
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ANTIQUE,BARBAZA,pieces or units,10,province_median,110,10,11,16,4,4,10,100,.9090909090909091
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,BARBAZA,putos,45,mp50_price,230,45.06060513583097,5.104236822978444,20,6,2,4.732142857142858,213.2332207320573,.9271009597045968
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,BARBAZA,putos,87.5,mp75_price,500,87.61784331967132,5.706600174758509,20,6,2,4.732142857142858,414.6201514234447,.8292403028468894
"preserved or processed meat (tocino, tapa, longaniza, etc)",ANTIQUE,BARBAZA,putos,45,mp50_price,230,45,5.111111111111111,20,6,2,4.732142857142858,212.9464285714286,.9258540372670808
